add_element_id,has_hood,has_large_antenna,has_depl_solar_panels,has_thruster,has_add_mass,has_door,has_tape,has_teather,has_cylidner,has_rod,has_sail,has_panel,has_balloon,has_pyramid
0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,False,False,False,False,True,False,True,False,False,False,False,False,False,False
2,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,False,False,False,True,False,False,False,False,False,False,False,False,False,False
4,False,False,False,False,False,False,False,False,False,True,False,False,False,False
5,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,False,True,False,False,False,False,False,False,False,False,False,False,False,False
7,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,False,False,True,False,False,False,False,True,False,False,False,False,False,False
11,False,False,False,False,False,False,False,False,False,False,False,False,True,False
12,False,False,True,False,False,False,False,False,False,False,False,False,False,False
13,False,False,False,False,False,True,False,False,False,False,True,False,False,False
14,False,False,False,False,True,False,False,False,False,False,False,False,False,False
15,False,False,False,False,False,False,False,False,False,False,False,False,False,True
16,False,False,False,True,False,False,False,False,True,False,False,False,False,False
17,True,False,False,False,False,True,False,False,False,False,False,False,False,False
18,False,True,False,False,False,True,False,False,False,False,False,False,False,False
19,False,False,False,False,False,False,False,True,False,False,False,False,False,True
20,False,False,False,False,False,False,False,False,False,False,True,True,False,False
21,False,False,False,False,True,False,False,True,False,False,False,False,False,False
22,False,False,True,False,False,False,False,False,False,False,True,False,False,False
23,False,False,False,False,True,False,False,False,False,True,False,False,False,False
24,True,False,False,False,False,False,False,False,False,False,False,False,False,False
25,False,True,True,False,False,False,False,False,False,False,False,False,False,False
26,True,False,False,False,False,False,False,False,False,False,False,True,False,False
27,False,False,False,True,False,False,False,False,False,False,False,True,False,False
28,False,False,False,False,False,False,False,False,True,False,True,False,False,False
