delivery_method_id,dispenser_id,payload_id,delivery_vehicle_id,iss_relation_id,separation_method_id
0,0.0,0,0,0,0
1,0.0,1,0,0,0
2,1.0,1,0,0,0
3,2.0,1,0,0,0
4,3.0,1,0,0,0
5,4.0,1,0,0,0
6,5.0,1,0,0,0
7,5.0,1,0,1,0
8,6.0,0,0,0,0
9,6.0,1,0,0,0
10,7.0,1,0,0,0
11,8.0,1,0,0,0
12,8.0,1,0,1,0
13,9.0,1,0,0,0
14,9.0,1,0,1,0
15,10.0,1,0,0,0
16,11.0,1,0,0,0
17,11.0,1,0,1,0
18,12.0,1,0,0,1
19,12.0,1,0,1,1
20,13.0,1,0,0,0
21,13.0,1,0,1,0
22,14.0,1,0,0,0
23,15.0,1,0,0,0
24,16.0,1,0,0,0
25,17.0,0,0,0,0
26,17.0,1,0,0,0
27,17.0,1,0,1,0
28,18.0,1,0,0,0
29,18.0,1,0,1,0
30,18.0,1,1,0,0
31,19.0,1,0,0,0
32,20.0,0,0,0,0
33,20.0,1,0,0,0
34,20.0,1,0,1,0
35,21.0,1,0,0,0
36,22.0,1,0,0,0
37,23.0,1,0,0,0
38,24.0,1,0,0,0
39,25.0,1,0,0,0
40,26.0,0,0,0,0
41,26.0,1,0,0,0
42,27.0,1,0,0,0
43,28.0,1,0,0,0
44,29.0,1,0,0,0
45,30.0,0,0,0,0
46,31.0,1,0,0,0
47,32.0,1,0,0,0
48,33.0,1,0,0,0
49,,0,0,0,0
50,,1,0,0,0
51,,1,0,1,0
52,,1,0,1,1
53,,1,1,0,0
