launchpad_id,name,spaceport_id
0,LC133/3,13
1,LC132/1,13
2,M-V,5
3,LC109/95,1
4,Pad 0B,22
5,SLP,14
6,OM,10
7,FLP,14
8,Y,19
9,LP1,12
10,LC40,2
11,576E,20
12,SLC2W,20
13,ZLV,3
14,Y2,19
15,SLC3E,20
16,LC31,1
17,Pad 0A,22
18,LC603  ?,4
19,SLC4E,20
20,Sh370/13,25
21,LC1,1
22,SLC41,2
23,LC16,18
24,LC43/95,4
25,KP,6
26,ELS,3
27,PU1S,21
28,LC201,23
29,LC603,4
30,LC9,18
31,K,5
32,LC39A,8
33,SLC46,2
34,LC1A,11
35,LC3,24
36,EP,5
37,-,4
38,LC43/4,13
39,LC43/94,4
40,RW12/30,7
41,LC2,24
42,LP3B,12
43,LC1B,11
44,LC39B,8
45,LP5,26
46,LC43/96,4
47,LP3C,12
48,LC120,4
49,LC130,4
50,IKSC,15
51,Pad 0C,22
52,PL1A,21
53,LC101,23
54,ELA4,3
55,ISAR,0
