rocket_id,name,rocket_family_id
0,Angara A5/Orion,0
1,Antares 110,1
2,Antares 120,1
3,Antares 130,1
4,Antares 230,1
5,Antares 230+,1
6,Ariane 62,2
7,Astra Rocket 3.3,3
8,Atlas V 401,4
9,Atlas V 421,4
10,Atlas V 501,4
11,Atlas V 551,4
12,Chang Zheng 11,5
13,Chang Zheng 2C,5
14,Chang Zheng 2D,5
15,Chang Zheng 4B,5
16,Chang Zheng 4C,5
17,Chang Zheng 5,5
18,Chang Zheng 6,5
19,Chang Zheng 7,5
20,Chang Zheng 7/YZ-1A,5
21,Chang Zheng 8,5
22,Delta 7320-10C,6
23,Delta 7420-10C,6
24,Delta 7920-10C,6
25,Dnepr,7
26,Electron,8
27,Epsilon,9
28,Falcon 1,10
29,Falcon 9,11
30,Falcon Heavy,12
31,Firefly Alpha,13
32,H-IIA 202,14
33,H-IIB,14
34,H3-22S,15
35,Jielong-1,16
36,Jielong-3,16
37,Kairos,17
38,Kosmos 11K65M,18
39,Kuaizhou-1A,19
40,LauncherOne,20
41,Lijian-1,21
42,M-V,22
43,Minotaur I,23
44,Minotaur IV,23
45,Minotaur-C 3210,23
46,Nuri,24
47,OS-M1,25
48,PSLV,26
49,PSLV-DL,26
50,PSLV-QL,26
51,PSLV-XL,26
52,Qased,27
53,RS1,29
54,Rokot,28
55,SLS Block 1,30
56,SS-520,31
57,SSLV,32
58,Shuang Quxian 1,33
59,Simorgh,34
60,Soyuz-2-1A,35
61,Soyuz-2-1B,35
62,Soyuz-ST-A,35
63,Soyuz-U-PVB,35
64,Spectrum,36
65,Super Strypi,37
66,Taurus 3110,38
67,Tianlong-2,39
68,Vega,40
69,Vega C,40
70,Zhuque-2,41
