name,purpose_id
aau-cubesat,
canx,
cute,
dtusat,
quakesat-1,6.0
xi-4,
ncube-1,8.0
uwe,
aerocube,
cp1,
cp2,
hausat-1,
icecube,
ion,
kutesat,
mea-huaka,
merope,
rincon-1,
sacred,
seeds,
genesat-1,6.0
cape,
cp-2,
cp-3,
cstb-1,
libertad-1,
mast,
aausat,
compass,
delfi,
nanosail-d,
presat,
hawksat-1,
pharmasat-1,6.0
beesat,
itupsat-1,
swisscube,
ksat,
negaistar,
waseda,
studsat,
tisat-1,
ooreos,6.0
rax,6.0
mayflower-caerus,
perseus,
qbx-1,
smdc-one,1.0
e1p-hrbe,
hermes,
kysat,
jugnu,5.0
e-star,
goliat,
masat-1,
pw-sat,
robusta,
unicubesat-gg,6.0
xatcobeo,
f-1,
fitsat-1,
raiko,
techedsat,
we-wish,
strand-1,
dove,
ossi-1,
somp,
phonesat-v,
cubebug-1,
nee-01-pegaso,
turksat-3usat,1.0
estcube,5.0
ardusat,
picodragon,
popacs,6.0
black-knight-1,
chargersat-1,
copper,
dragonsat-1,6.0
fire,6.0
ho-oponopono,
stare,
nps-scat,
ors,
orses,
prometheus,
sense,
swampsat,
tj3sat,
trailblazer-1,6.0
vermont-lunar-cubesat-1,
alice,
cunysat-1,6.0
ipex,
m-cubed,
snap,
tacsat-6,
flock-1,
litsat-1,
lituanicasat,
skycube,
uapsat-1,
chasqui-1,
invader,0.0
itf,
opusat,
all-star-theia,
kicksat-1,
sporesat,6.0
tsat,
antelsat,
duchifat,6.0
lemu,5.0
nanosatc-br,6.0
pace,
polyitan,
popsat-hip-1,
qb50p,
tigrisat,5.0
velox,
ukube-1,
arkyd,
gomx,
race,
aesp-14,6.0
exocube,6.0
grifex,
centennial-1,
bricsat,1.0
gearrs,
lightsail-1,
opticube,
psat,1.0
uss-langley,
deorbitsail-1,
dcbb,1.0
smart-nudt-phonesat,
arc-1,
bisonsat,
fox-1,
lmrstsat,
propcube-1,
sinod-d,
argus,
edsn,
printsat,
stacem,
supernova-beta,
athenoxat-1,
galassia,
tomsk-tpu-120,
oufti-1,
samsat,
sathyabamasat,
swayam,
aoxiang,
3cat,
alsat-nano,
cas,
lishui-1-01,
pina-2,
ty-1,
celtee,
ravan,6.0
by70-1,1.0
kaidun-1,
xingyu,
tricom-1,
al-farabi,
bgusat,
dido,
nayif-1,
peasss,
silkroad-1,5.0
bird,
ghanasat-1,
mazaalai,
nigeria-edusat-1,
toki,
aalto,5.0
cicero,5.0
d-sat,
3-diamonds,1.0
inflatesail,
nudtsat,6.0
pacscisat,
pegasus_qb50,
skcube,
suchai,
uclsat,6.0
ursa-maior,
vzlusat,
asteria,
dellingr,6.0
osiris-3u,6.0
dhfr,
asgardia-1,1.0
chefsat,
ecamsat,6.0
isara,
mirata,
radfxsat,
buccaneer,
eaglesat,
makersat-0,
corvus-bc,
d-star-one,
helios-sirion,
seam,
kepler,1.0
ty-2,
ty-6,
zhou_enlai,
weina,
fengmaniu-1,
shaonian-xing,
juven,
marco,1.0
cuberrt,
endurosat-a,
equisat,
halosat,6.0
memsat,
radix,1.0
radsat,
raincube,
tempest-d,
luojia,
maya,
uitmsat-1,
siriussat,
cp-7,
elfin,6.0
surfsat_ucf,
autcube-2,
cubebel,
stars,6.0
tianqi-1,1.0
ty-4-0,
irvine-0,
proxima-1,1.0
mysat,
centauri,1.0
facsat,5.0
hiber,1.0
hsat-1,
innosat-2,
reaktor-hello-world,
beak,
cat,
clark-sat-1,
delphini-1,
quantum-radar-1,
unit,6.0
lume,
samson,
zacube,
aoba-velox,
nexus,
origamisat-1,
lingque,5.0
xx-1-03,
aistechsat-1,1.0
astrocast,1.0
bluewalker-1,1.0
m6p,1.0
falcon-ode,6.0
sparc-1,
acrux-1,
painani-1,5.0
spacebee,1.0
narsscube-1,
orca,
rftsat-1,
tdo,
bro-1,
pearl,
taurus-1,
aqt-d,
rwasat-1,
palisade,
harp,5.0
huskysat-1,
orbital,
phoenix_,
socrates-exact,
meshbed,
aztechsat-1,
ciris,
cryocube-1,
edgecube,
minicarb,
qarman,
sortie,
vpm,
1hopsat-td,5.0
nanova,
pathfinder-risk-reduction,
angels_cnes,1.0
eye-sat,6.0
ops-sat,
floripasat-1,
tianyan,
demi,
g-satellite,2.0
guatesat-1,
lynk-04,
noor,3.0
faraday-1,
eg-1,
dekart,
lacunasat,1.0
meznsat,5.0
netsat,
norbi,
yarilo,6.0
beihangkongshi-1,6.0
ksm,
dragracer,
mandrake-1,
quaketec,6.0
era-1,
et-smart-rss,5.0
yuanguang,
cactus-1,
mitee,
pics,
polarcube,
q-pace,
aii-bravo,
arce-1,
aselsat,
ideassat,6.0
pixl-1,
ptd,
uvsq-sat,
v-r3x,
yusat-1,
elo,1.0
geostare,
mir-sat-1,
ramsat,
soar,
arthur-1,
brik-2,
cnce-blk1,
ghalib,
gunsmoke,
halo-net-free-flyer,
ksf,
lincs,
napa-1,5.0
neptuno,8.0
qmr-kwt,
spartan,
stork,5.0
tiger,1.0
tropics,5.0
w-cube,5.0
ledsat,
radcube,
sunstorm,
binar-1,
capsat,
cuava,
pr-cunar-2,
space-hauc,
bss1-dfast,
hstm-cubesat,
serenity,
cesium-satellite-1,
cupid,6.0
sss-2a,
tianyuan-1,
arica,
asterisc,
kosen,
nanodragon,
liciacube,
xw-3,
bama-1,
inca,
qubesat,
r5-s,
ihi-sat,
kitsune,
nachos,
oresat-0,
alfacrux,
arcs,1.0
bdsat,
omnispace-1,1.0
pixxel-td-2,5.0
plantsat,
aurorasat,
zhixing-3a,5.0
dummy_cubesat,
miman,5.0
pvsat,
randev,1.0
snuglite,
step-cube-lab,
capstone,
scoob,
ctim-fd,6.0
gpx-2,
misr,
recurve,
slingshot-1,
abcs,6.0
alpha_arca,
celesta,
greencube,6.0
mtcube,
trisat,
beavercube,
click,
d3,
futaba,
hsu-sat-1,
jagsat-1,
tumnanosat,
cubesx-sirius-hse,
cyclops,
geoskan,
isoi,
kai-1,
kuzbass-300,
miet-ais,
monitor-1,
polytech-universe-1,
reshucube,
siren,
skoltech-b,
utmn,
vizard,
fsi-sat1,
magnaro,
mitsuba-1,
linuss,
spacetuna-1,
zimsat,
xw-4,
dantesat,
hsksat,
loris,
mario,
nutsat,
optimal-1,
petitsat,6.0
sport,
surya-satellite-1,
thybolt-1,1.0
tjreverb,
lunar-flashlight,
circe,
forgestar-0,
iod,
oman-cubesat,
varisat-1,
janus-1,
arksat-1,
ex-alta,
lightcube,
neudose,
yukonsat,
jinta,5.0
g-space-1,1.0
dalian-1_lianli,5.0
a-seansat-pg-1,5.0
akhmat-1,
arccube-01,
avion-kaluga-650,
cstp,
impuls-1,
khors-1,
kuzgtu-1,
nanozond-1,
phi-demo,1.0
saturn,
sirius-sinp-3u,
sitro-ais-5,8.0
stratosat-tk-1,
svyatobor-1,
umka-1,
zorkiy-2m,5.0
starling,
arcade,
nulion,1.0
orb-12-strider,
skylark-1,7.0
tirsat,5.0
acs3,
prefire,5.0
yodaka,
ishiki,
narit-cube1,
parus,
sc-sat1,
otc,
kestrel-0a,
lide,
real,
dice,6.0
aubiesat-1,
e1p,6.0
aeneas,
csswe,6.0
cxbn,6.0
cp-5,
cinema,6.0
pucp-sat-1,
funcube-1,
hincube,
optos,
triton-1,
icube,
humsat-d,1.0
first-move,
micromas,5.0
lambdasat,
serpens,1.0
s-cube,
njfa-1,
njust,
shangkeda-2,
tw-1bc,
bevo-2,
minxss,6.0
cadre,
stmsat-1,
nodes,
freedom,
egg,
tupod,4.0
havelsat,6.0
qbus,
x-cubesat,6.0
qbee,
altair,
sharc,
za-aerosat,6.0
link,
csunsat-1,
upsat,
spacecube,6.0
hoopoe,
unsw-ec0,
duthsat,
lilacsat-1,1.0
nsight-1,6.0
snusat,
qbito,
susat,6.0
i-inspire-2,
beeaglesat,6.0
tns-0-2,
tanyusha-yuzgu,
ecuador-ute-yuzgu,
mka-n,5.0
iskra-mai-85,
nanoace,
landmapper-bc,5.0
x37b-cubesats,
kausat-5,
canyval,
tyvak-61c,
demosat-2,1.0
picsat,6.0
cnusail-1,
sigma,
ubakusat,1.0
1kuns-pf,
irazu,
removedebris,
spatium-1,6.0
rsp-0,
itasat-1,
kazscisat-1,
eaglet-1,5.0
csim-fd,6.0
thea,
k2sat,
jy1-sat,1.0
suomi-100,6.0
sirion-pathfinder-2,1.0
knacksat,
audacy-zero,1.0
brio,1.0
seahawk,5.0
visioncube,
elysium-star-2,
weisssat-1,
spawar-cal,
range,
exseedsat-1,
enoch,0.0
raaf-m,
move-2,
vesta,1.0
blackhawk,
ice-cap,
tfstar,1.0
ladybird,
ty3-01,
tydf-1,
shields-1,
stf-1,
ceres,6.0
rsat-p,
chomptt,
isx,
da-vinci,
albus,
shft-1,
nmtsat,6.0
cubesail,
spooqy-1,
swiatowid,5.0
kraksat,
vcc,
entrysat,
seeker_kenobi,7.0
sassi2,6.0
falconsat-7,
armadillo,
e-tbex,6.0
cp-9,
stangsat,
tepce,
ute-ecuador,
nslsat-1,
jaisat-1,
vdnh-80,
amgu-1,
ttu100,5.0
sonate,
sokrat,
lucky-7,5.0
momentus-x1,
usa-301,
andesite,6.0
simba,
picasso,
amical-sat,
fsscat,5.0
spoc,
bobcat-1,
neutron-1,6.0
satlla-1,6.0
descent,
warp-01,
tausat,
tsuru,
it-spins,6.0
nanoconnect-2,
sdsat,
challengeone,
grbalpha,6.0
orbicraft-zorkiy,
3b5gsat,
bccsat-1,
fees-1,
wildtrackcube-simba,1.0
kmsl,6.0
ksu-cubesat,1.0
veery_v0,
myriota-5,1.0
ascent,
baoyun,
lize-1,
tianjin-university-1,
gaspacs,
targit,
patcool,
daili,6.0
light-1,5.0
gt-1,
tevel-1,6.0
nux-1,
forest,5.0
mdasat-1,
iris,
hypso,6.0
etv-a1,5.0
dewa-sat,1.0
gossamer-piccolomini,
dodona,
labsat,
sw1ft,5.0
pan_cubesat,
adler,
steamsat-2,
chuangxing_leishen,
urdaneta-armsat-1,5.0
cpod,
sbudnic,
guardian,5.0
selfiesat,
foresail-1,
planetum-1,
connecta,1.0
sejong-1,5.0
broncosat-1,
spin-1,
tsiolkovsky-ryazan,
nea-scout,
lunah-map,
lunir,
miles,
cusp,6.0
argomoon,
biosentinel,6.0
equuleus,
lunar-icecube,
omotenashi,
star-vibe,5.0
sternula-1,1.0
menut,
eye,5.0
gama-alpha,
milspace2,
kuwaitsat-1,
sharjah-sat-1,
futura-sm,
kelpie-1,8.0
ews-rroci,5.0
mdqsat-1a,
proves-yearling,
pushan-alpha,
sapling-1,
zeus-1,
beiyou-1,
golden-bauhinia,
tianzhi-2-d,
taifa-1,5.0
inspiresat-7,
roseycubesat-1,
vcub1,1.0
llited,6.0
disco-1,
vireo,
revela,5.0
epichyper-1,5.0
brokkr-1,
kilicsat,
cirbe,6.0
its-about-time,
snipe,6.0
jlc-101-v1-2,
kasi-sat,
lumir-t1,
moonlighter,
essence,5.0
sc-odin,
ukpik-1,
cxpd,
fossasat-ferox-1,
ayris-1,
outpost-mission-1,
spei-satelles,
gei-sat-precursor,5.0
eive,
xvi,
anser,
n3ss,
csc-1,
pretty,
macsat,1.0
proba-v-cc,
pico-iot-1,1.0
mantis,5.0
kafasat,5.0
protomethee,5.0
observer-1,5.0
orbastro,
ghgsat-c9,5.0
barry-1,
osw-cazorla,
ninjasat,6.0
intuition-1,5.0
ymir-1,8.0
exo-0,
veronika,
platero,1.0
djibouti-1a,
genmat-1,5.0
aman,5.0
crypto3,1.0
ella-1,1.0
heron-mk2,6.0
jinjusat-1,
omni-ler1,
picacho,
vindler-1,
lilium-1,
spirit,6.0
enso,6.0
hayasat-1,
eirsat-1,
nanoff,
logsats,1.0
alisio-1,5.0
bayi-08,
hatef-1,
kaihan-2,
eaglecam,
horacio,5.0
sentry,
aeros-mh1,5.0
hubble,1.0
contecsat-1,5.0
lace-1,
m3,
ondosat-owl-1,1.0
py4,
pony-express-2,
curtis,
microorbiter-1,
kashiwa,
burstcube,6.0
snoopi,
mola,
big-red-sat-1,
hyti,5.0
killick-1,
qmsat,
violet_nb,
gagarinets,
dummy-angara-orion,
mesat-1,
catsat,6.0
kubesat-1,6.0
soc-i,
grbbeta,6.0
istsat-1,
curium-one,
curie,6.0
replicator,
cysat-1,
dora,
wisseed-sat,
waratah-seed-1,
iperdrone-0,
ernst,
toro,
sateliot-1,
nightjar,
phisat-2,
um5,
troop-f2,
hyperfield-1,
sedna-1,
rock-lopen,
satoro-t2,
cakra-1,
tomorrow,
gna-3,
milani,
mordovia-iot,
ruzaevka-390,
mtusi-1,
vladivostok-1,
hod-hod,
swsu-60,
ctc-0,
gitai-sc-1,
lasarsat,
crocube,
xcube-1,
pleiades-orpheus,
pausat-1,
edison-1,
elevation-1,
balkan-1,
gesat-gen1,
sat-gus,
scot,
saturnin-1,
fusion-1,
ae1c,
ae1d,
alainsat-1,
orbit-guard-2,
otp-2,
al-munther,
pandore,
explorer_ezie,
soap,
botsat-1,
nila,
red5,
hyvrid,
nushsat,
padre,
good-ancestor-kilakila,
astroline-1,
