model_id,name,size,solar_panels
0,0.25-1,0.25,1
1,0.3-1,0.3,1
2,0.3-2,0.3,2
3,0.5-1,0.5,1
4,0.5-2,0.5,2
5,1-1,1,1
6,1-10,1,10
7,1-11,1,11
8,1-12,1,12
9,1-13,1,13
10,1-2,1,2
11,1-3,1,3
12,1-4,1,4
13,1-5,1,5
14,1-6,1,6
15,1-7,1,7
16,1-8,1,8
17,1-9,1,9
18,1,1,
19,1-s,1,s
20,1.5-1,1.5,1
21,1.5-2,1.5,2
22,1.5-3,1.5,3
23,1.5-4,1.5,4
24,1.5-5,1.5,5
25,1.5-6,1.5,6
26,2-1,2,1
27,2-3,2,3
28,2-4,2,4
29,2-5,2,5
30,2-6,2,6
31,2-7,2,7
32,2-8,2,8
33,2.0,2.0,
34,2,2,
35,3-1,3,1
36,3-10,3,10
37,3-11,3,11
38,3-12,3,12
39,3-13,3,13
40,3-14,3,14
41,3-15,3,15
42,3-16,3,16
43,3-17,3,17
44,3-18,3,18
45,3-19,3,19
46,3-2,3,2
47,3-20,3,20
48,3-21,3,21
49,3-3,3,3
50,3-4,3,4
51,3-5,3,5
52,3-6,3,6
53,3-7,3,7
54,3-8,3,8
55,3-9,3,9
56,3.0,3.0,
57,3,3,
58,3-s,3,s
59,4-2,4,2
60,5-2,5,2
61,5,5,
62,6-1,6,1
63,6-10,6,10
64,6-11,6,11
65,6-12,6,12
66,6-13,6,13
67,6-15,6,15
68,6-16,6,16
69,6-17,6,17
70,6-18,6,18
71,6-2,6,2
72,6-20,6,20
73,6-21,6,21
74,6-22,6,22
75,6-23,6,23
76,6-24,6,24
77,6-25,6,25
78,6-26,6,26
79,6-27,6,27
80,6-28,6,28
81,6-3,6,3
82,6-30,6,30
83,6-31,6,31
84,6-32,6,32
85,6-33,6,33
86,6-34,6,34
87,6-35,6,35
88,6-4,6,4
89,6-5,6,5
90,6-6,6,6
91,6-7,6,7
92,6-8,6,8
93,6-9,6,9
94,6.0,6.0,
95,6,6,
96,8,8,
97,8-2,8,2
98,8-3,8,3
99,9-2,9,2
100,12-1,12,1
101,12-10,12,10
102,12-2,12,2
103,12-3,12,3
104,12-4,12,4
105,12-6,12,6
106,12-7,12,7
107,12-8,12,8
108,12-9,12,9
109,12,12,
110,12.0,12.0,
111,16-1,16,1
112,16-2,16,2
113,16,16,
114,16.0,16.0,
115,20-2,20,2
116,0.25L-1,0.25L,1
117,0.5L-2,0.5L,2
118,2.5-1,2.5,1
119,2.5-2,2.5,2
120,2.5-3,2.5,3
121,6L-1,6L,1
122,6L-2,6L,2
123,8-1,8,1
124,8L-1,8L,1
125,8L-20,8L,20
